fecha,hora,tipo,lat,lon,vel_kmh,rumbo,alt_m,detalle
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
,,,,,,,,"1s EVT ble 2/11: Bluefruit.begin()"
,,,,,,,,"1s EVT boot v0.3.0-dev mode=2"
,,,,,,,,"1s EVT ble 1/11: init del stack Bluetooth"
,,,,,,,,"1s BLE init: bleEnabled=true, arrancando Bluetooth"
